,Mean,Zeros
0,9181.18653846154,6.65
1,11496.648076923077,1.875
2,8015.49230769231,1.925
3,87371.01730769232,0.15
4,1356.2076923076925,2.475
5,71216.5,2.65
6,16386.990384615383,2.35
7,13798.519230769229,2.375
8,12051.413461538463,1.95
9,2959.992307692308,4.5
10,11869.359615384614,0.025
11,104656.63076923079,4.9
12,52590.8346153846,1.475
13,25369.355769230762,8.925
14,24785.05000000001,0.0
15,44000.09038461539,0.4
16,291.6423076923078,7.3
17,19328.807692307684,1.45
18,17023.22115384615,0.0
19,66835.62884615385,2.475
20,20193.12884615385,0.675
21,74300.08461538462,1.375
22,103692.38076923077,0.0
23,230925.93653846154,2.875
24,5010.884615384617,3.75
25,6698.903846153846,2.3
26,32520.742307692308,7.65
27,4432.9807692307695,1.3
28,114496.35192307693,1.125
29,347950.85576923075,1.075
30,9788.559615384615,0.275
31,223150.5711538462,0.875
32,9481.85576923077,3.15
33,43049.724999999984,0.825
34,22260.915384615386,0.95
35,6192.907692307691,0.0
36,8475.311538461541,0.2
37,2126.463461538461,1.575
38,7895.176923076923,0.8
39,32473.949999999993,2.825
40,23260.90576923077,4.2
41,21032.61730769232,0.0
42,12030.819230769233,7.775
43,24467.84807692308,0.0
44,1145.4884615384613,4.3
45,5322.717307692307,0.0
46,7179.011538461537,0.0
47,33183.0076923077,0.225
48,60166.8230769231,0.725
49,2378.2615384615387,3.225
50,100579.85,0.8
51,7424.871153846152,4.0
52,11691.928846153849,5.475
53,781.7673076923077,1.85
54,1682.4115384615386,0.0
55,619.175,10.075
56,48360.686538461545,0.325
57,31714.59423076925,0.0
58,60061.05576923078,0.925
59,1898.9923076923073,6.025
60,2059.076923076923,0.325
61,107916.53846153847,4.275
62,7103.790384615383,1.65
63,34564.41346153846,2.25
64,93159.12500000003,0.0
65,31062.853846153845,2.4
66,6320.2653846153835,0.0
67,1761.686538461539,5.65
68,72710.82499999998,3.7
69,356.08653846153845,7.7
70,26261.95,0.0
71,4332.136538461539,0.95
72,5975.455769230769,0.0
73,20135.548076923074,3.9
74,6228.282692307694,2.35
75,10412.813461538462,0.325
76,90472.3923076923,0.0
77,25609.48461538462,0.0
78,18499.932692307695,5.0
79,25172.2,0.525
80,83775.14038461537,0.0
81,5511.776923076922,2.65
82,1851.1250000000007,3.2
83,2729.732692307692,0.0
84,92883.37115384618,1.15
85,4922.865384615385,1.225
86,39290.688461538455,0.0
87,63370.39615384617,3.05
88,1713.9326923076922,0.6
89,1831.39423076923,0.3
90,2342.736538461538,2.125
91,11411.94423076923,0.75
92,1281.6269230769233,1.575
93,39713.74615384616,2.05
94,31670.34615384615,2.2
95,105020.80961538463,0.075
96,14492.821153846151,1.775
97,3343.1096153846156,0.4
98,23116.632692307692,0.75
99,80617.725,2.25
100,2812.769230769231,0.15
101,39536.132692307685,0.65
102,34700.88076923078,2.725
103,12666.417307692309,0.0
104,6274.461538461537,0.0
105,1504.0653846153848,1.225
106,46683.461538461546,0.05
107,112171.00384615385,0.125
108,24347.890384615384,9.55
109,5630.6461538461535,0.525
110,206261.3,0.75
111,1807.7961538461536,6.275
112,21976.955769230768,2.55
113,2638.4807692307695,1.9
114,24461.95576923077,0.0
115,42805.528846153844,2.275
116,42918.94423076923,0.95
117,9033.794230769232,0.275
118,3837.521153846154,3.7
119,5459.721153846154,0.25
120,402.2461538461538,6.8
121,46505.78461538461,0.0
122,221.51538461538468,7.075
123,14079.303846153844,0.25
124,3645.875,6.575
125,1219.269230769231,2.075
126,3301.3961538461544,7.725
127,50285.265384615384,2.0
128,7495.25,4.75
129,12410.221153846152,4.7
130,21417.57500000001,4.45
131,27301.838461538475,2.275
132,761.3480769230767,6.725
133,102970.53076923078,0.325
134,12894.713461538464,0.125
135,1531.35,1.575
136,5022.332692307691,4.15
